id;title;hypothesis;method;success_criteria;status;result;learnings;start_date;end_date;created_date;solution_id
12;busily;../fake-data/blob/hipster.txt;very after;../fake-data/blob/hipster.txt;RUNNING;SUPPORTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-18T06:36:51;12
13;shyly till;../fake-data/blob/hipster.txt;greatly successfully affectionate;../fake-data/blob/hipster.txt;COMPLETED;SUPPORTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T20:27:12;13
14;gee amidst;../fake-data/blob/hipster.txt;wherever aha;../fake-data/blob/hipster.txt;COMPLETED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-18T06:04:17;14
15;yahoo amendment;../fake-data/blob/hipster.txt;upright;../fake-data/blob/hipster.txt;CANCELLED;REFUTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-18;2026-09-17T18:37:36;15
16;unbearably ick;../fake-data/blob/hipster.txt;deeply;../fake-data/blob/hipster.txt;CANCELLED;SUPPORTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-18T04:07:31;16
17;foot nor;../fake-data/blob/hipster.txt;neat mmm factorise;../fake-data/blob/hipster.txt;RUNNING;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-17T11:28:31;17
18;contradict;../fake-data/blob/hipster.txt;phew;../fake-data/blob/hipster.txt;COMPLETED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-17T15:18:05;18
19;whenever;../fake-data/blob/hipster.txt;quiet official platter;../fake-data/blob/hipster.txt;COMPLETED;REFUTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-18;2026-09-17T15:08:39;19
20;mothball personalise communicate;../fake-data/blob/hipster.txt;flight;../fake-data/blob/hipster.txt;PLANNED;REFUTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-18T01:46:23;20
21;now beside exaggerate;../fake-data/blob/hipster.txt;which forenenst;../fake-data/blob/hipster.txt;CANCELLED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T10:21:42;21
22;to;../fake-data/blob/hipster.txt;shyly;../fake-data/blob/hipster.txt;RUNNING;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T16:49:11;22
23;yippee;../fake-data/blob/hipster.txt;spook immediately;../fake-data/blob/hipster.txt;CANCELLED;REFUTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T17:59:09;23
24;circa;../fake-data/blob/hipster.txt;scheme as structure;../fake-data/blob/hipster.txt;PLANNED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T17:54:32;24
25;oof and;../fake-data/blob/hipster.txt;an;../fake-data/blob/hipster.txt;RUNNING;REFUTED;../fake-data/blob/hipster.txt;2026-09-18;2026-09-17;2026-09-17T23:35:14;25
26;geez;../fake-data/blob/hipster.txt;pfft;../fake-data/blob/hipster.txt;RUNNING;REFUTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-18T05:54:30;26
27;gosh overheard;../fake-data/blob/hipster.txt;proliferate;../fake-data/blob/hipster.txt;COMPLETED;REFUTED;../fake-data/blob/hipster.txt;2026-09-18;2026-09-18;2026-09-17T22:32:30;27
28;square;../fake-data/blob/hipster.txt;sightseeing fireplace interior;../fake-data/blob/hipster.txt;RUNNING;REFUTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T11:21:39;28
29;knotty;../fake-data/blob/hipster.txt;fixed an;../fake-data/blob/hipster.txt;PLANNED;INCONCLUSIVE;../fake-data/blob/hipster.txt;2026-09-17;2026-09-17;2026-09-17T09:17:25;29
30;to how;../fake-data/blob/hipster.txt;folklore;../fake-data/blob/hipster.txt;RUNNING;SUPPORTED;../fake-data/blob/hipster.txt;2026-09-17;2026-09-18;2026-09-17T22:50:42;30
